filename,width,height,class,xmin,ymin,xmax,ymax
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,68,65,107,109
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,105,65,142,109
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,140,69,175,109
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,174,68,211,110
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,209,69,245,110
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,242,70,277,110
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,347,70,382,109
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,312,69,348,111
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,277,70,314,112
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,69,106,105,145
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,175,106,211,144
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,105,106,142,146
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,141,107,175,146
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,243,108,278,144
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,311,108,348,147
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,346,108,383,147
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,209,108,243,148
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,277,108,314,149
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,69,142,107,186
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,empty,140,143,177,185
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,105,143,142,185
image109_jpg.rf.1415e546ae06afd3d44b834652b4968f.jpg,416,416,filled,347,143,384,185
